pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Uganda,33.401234567901234,,29.080246913580247,,,0.5925925925925926,,2.2962962962962963,,0.006172839506172839,30.925925925925927,0.3271604938271605,,3.3703703703703702,
Ukraine,50.0,,,,,,,,,,,,50.0,,
The United Arab Emirates,,,25.0,,25.0,,,,,,25.0,,,25.0,
The United Kingdom,,,,,,0.9629629629629629,,,27.382716049382715,,36.76543209876543,2.580246913580247,0.5432098765432098,31.765432098765434,
The United States,,,,,,4.981481481481482,,37.77777777777778,15.858024691358025,,1.7777777777777777,8.253086419753087,,31.35185185185185,
Uruguay,2.246913580246914,,,,,2.197530864197531,,0.6851851851851852,32.55555555555556,1.7592592592592593,,3.617283950617284,1.808641975308642,55.129629629629626,
Uzbekistan,,0.06790123456790123,,,1.1111111111111112,2.2222222222222223,31.11111111111111,,,,2.2222222222222223,0.4876543209876543,31.01851851851852,31.75925925925926,
Vanuatu,9.37037037037037,,25.62962962962963,,31.28395061728395,,,0.4012345679012346,,2.2222222222222223,31.09259259259259,,,,
Vatican City,52.0,,,,,1.382716049382716,,0.2345679012345679,,0.24691358024691357,0.25308641975308643,3.740740740740741,,42.141975308641975,
Venezuela,33.333333333333336,,,,,1.3209876543209877,,,30.641975308641975,,33.333333333333336,0.5555555555555556,0.1111111111111111,0.7037037037037037,
Vietnam,0.6666666666666666,,,,,,,,,0.43209876543209874,92.73456790123457,,,,6.166666666666667
Yemen,,,33.333333333333336,,,1.1111111111111112,,,,,33.333333333333336,1.1111111111111112,,31.11111111111111,
Zambia,7.512345679012346,,7.518518518518518,,73.89506172839506,,,0.012345679012345678,,3.54320987654321,7.518518518518518,,,,
Zimbabwe,25.012345679012345,,10.722222222222221,,26.864197530864196,0.5987654320987654,,1.771604938271605,,0.5185185185185185,21.123456790123456,0.4691358024691358,,12.919753086419753,
